Trade Date,Company Name,Unique Insider Count,Insider Names,Total Value
2023-06-13,Comtech Telecommunications Corp /de/,2,"['Peterman Ken Allen', 'Bondi Michael']",96782.0
2023-06-12,Landsea Homes Corp,3,"['Forsum Michael', 'Ho John', 'Porter Christopher T']",449993.0
2023-06-05,Zumiez Inc,2,"['Ellis Adam Christopher', 'Brooks Richard Miles']",1163500.0
2023-06-01,Integra Lifesciences Holdings Corp,2,"['De Witte Jan', 'Schwartz Eric']",400021.0
2023-06-01,Big Lots Inc,2,"['Robins Ronald A Jr', 'Schlonsky Michael Allen']",98850.0
2023-05-31,"Ziff Davis, Inc.",2,"['Rossen Jeremy', 'Richter Bret']",176713.0
2023-05-31,"Springbig Holdings, Inc.",2,"['Harris Jeffrey Todd', 'Sykes Paul']",250000.0
2023-05-30,Genesco Inc,3,"['Ewoldsen Daniel E', 'George Thomas', 'Vaughn Mimi Eckel']",318658.0
2023-05-26,Agree Realty Corp,2,"['Erlich Craig', 'Coughenour Peter']",224395.0
2023-05-23,Prelude Therapeutics Inc,2,"['Chardonnet Laurent', 'Vaddi Krishna']",94249.0
2023-05-23,"Granite Ridge Resources, Inc.",2,"['Brandenberg Luke C', 'Farquharson Tyler']",114536.0
2023-05-17,Agree Realty Corp,2,"['Agree Joey', 'Erlich Craig']",425000.0
2023-05-16,"Selectquote, Inc.",2,"['Danker Timothy Robert', 'Grant Robert Clay']",379000.0
2023-05-16,Eagle Bancorp Inc,2,"['Riel Susan G', 'Saltzman Paul']",57931.0
2023-05-15,Sonder Holdings Inc.,2,"['Davidson Francis', 'Bourgault Dominique']",281596.0
2023-05-15,"Gohealth, Inc.",2,"['Schulz Jason', 'Kotte Vijay']",198110.0
2023-05-15,"Ecb Bancorp, Inc. /Md/",2,"['Citrano John A', 'Migliozzi John']",118951.0
2023-05-11,"Afc Gamma, Inc.",2,"['Tannenbaum Robyn', 'Tannenbaum Leonard M']",4976638.0
2023-05-10,Ameris Bancorp,2,"['Stokes Nicole S', 'Proctor H Palmer Jr']",321580.0
2023-05-09,"Saul Centers, Inc.",2,"['Saul B Francis II', 'Pearson David Todd']",449351.0
2023-05-09,Potbelly Corp,2,"['Wright Robert D.', 'Cirulis Steven']",76027.0
2023-05-09,Brt Apartments Corp.,2,"['Gould Jeffrey', 'Gould Matthew J']",201278.0
2023-05-08,Intevac Inc,2,"['Hunton Nigel', 'Moniz James P']",50500.0
2023-05-05,Synovus Financial Corp,2,"['Creson Shellie', 'Bishop Daniel Zachary']",107284.0
2023-05-05,Conduent Inc,2,"['Wood Stephen Henry', 'Skelton Clifford']",200215.0
2023-05-05,Albemarle Corp,2,"['Masters J Kent', 'Coleman Kristin M.']",1243457.0
2023-05-05,Adt Inc.,2,"['Jackson Delu', 'Haenggi Jamie Elizabeth']",628824.0
2023-05-04,Adt Inc.,5,"['Young Donald M.', 'Devries James David', 'Porpora Kenneth', 'Thorsen Wayne', 'Smail David W']",667440.0
2023-05-04,"Harborone Bancorp, Inc.",2,"['Casey Joseph F', 'Simmons Linda']",129780.0
2023-05-04,East West Bancorp Inc,4,"['Teo Gary', 'Oh Irene H', 'Ng Dominic', 'Shi Parker']",892712.0
2023-05-02,Trustco Bank Corp N Y,2,"['Leonard Robert M', 'Ozimek Michael M']",75270.0
